No,Nama_Bahan,Porsi_g,Kalori_kal,Karbohidrat_g,Protein_g,Lemak_g,Serat_g
768,"Ayam goreng pasundan, paha",100,245.0,0.3,33.1,11.4,
769,"Ayam goreng pioneer, dada",100,295.0,0.6,37.4,14.7,
770,"Ayam goreng sukabumi, dada",100,244.0,1.0,36.7,9.2,
771,"Ayam goreng sukabumi, paha",100,283.0,0.5,35.7,14.3,
772,"Ayam taliwang, masakan",100,264.0,2.7,18.2,20.1,
773,"Babi hutan masak rica, masakan",100,491.0,0.2,24.6,16.3,
774,Beef burger,100,258.0,32.5,10.6,9.5,0.4
775,"Beef teriyaki, masakan",100,151.0,22.3,8.6,3.1,0.3
776,"Beef yakiniku, masakan",100,132.0,20.7,9.8,1.1,0.3
777,Brongkos,100,141.0,12.6,15.3,3.3,1.0
778,"Bulgogi, masakan",100,72.0,1.4,11.4,4.9,1.7
779,"Chicken teriyaki, masakan",100,168.0,7.5,13.0,9.6,0.8
780,"Chikiniku, masakan",100,143.0,22.8,9.8,1.4,0.4
781,"Coto mangkasara, kuda, masakan",100,96.0,3.8,6.8,5.9,
782,"Coto mangkasara, sapi, masakan",100,84.0,1.4,6.0,6.0,
783,"Djibokum, masakan",100,248.0,40.9,10.0,2.3,0.1
784,"Empal (daging) Goreng, masakan",100,248.0,10.1,36.2,6.9,
785,Gulai kambing,100,126.0,6.2,4.2,9.4,
786,"Jangang bintatoeng, masakan",100,107.0,16.5,5.3,2.2,
787,"Kalio ayam, masakan",100,203.0,4.4,16.0,13.5,
788,"Kalio jeroan, masakan",100,163.0,4.1,16.5,9.0,
789,"Kalio kikil (tunjang), masakan",100,122.0,3.9,13.8,5.7,
790,"Kalio otak, masakan",100,157.0,11.4,8.1,8.8,
791,"Lawar babi, masakan",100,174.0,3.0,17.0,10.0,
792,"Lawar penyu, masakan",100,141.0,7.6,23.0,1.5,
793,"Lawara jangang, masakan",100,159.0,10.1,5.0,10.9,
794,"Naan maran sapi, masakan",100,478.0,5.1,38.3,33.9,
795,"Nasu likku, masakan",100,196.0,15.9,14.5,8.3,
796,"Oramu ninahu ndawa olaho, masakan",100,117.0,4.3,13.7,5.0,
797,"Paniki masak santan, masakan",100,460.0,7.2,28.5,35.2,
798,"Pelolah manuk, masakan",100,219.0,4.4,19.7,13.6,
799,"Rawon, masakan",100,60.0,4.0,5.4,2.5,0.3
800,"Rendang sapi, masakan",100,193.0,7.8,22.6,7.9,
801,"RW, anjing, masakan",100,198.0,0.9,24.6,10.7,
802,"Sate, penyu, masakan",100,179.0,13.3,22.5,3.5,
803,"Sate pusut, masakan",100,274.0,13.6,12.9,18.6,
804,"Penyu, serapah, masakan",100,174.0,2.2,13.1,12.2,
805,"Sie reuboh, masakan",100,474.0,11.7,11.2,42.5,
806,"Sop buntut, masakan",100,71.0,2.2,7.5,3.6,
807,"Sop daging sapi, masakan",100,49.0,5.3,5.8,0.5,
808,"Sop kaki sapi, masakan",100,68.0,3.7,9.0,1.9,
809,"Sop kambing, masakan",100,34.0,1.1,5.5,0.8,
810,"Sop konro, masakan",100,71.0,4.5,7.4,2.6,
811,"Sop saudara, masakan",100,89.0,3.9,7.2,5.0,
812,"Soto bandung, masakan",100,42.0,2.8,3.9,1.7,0.4
813,"Soto banjar, masakan",100,110.0,3.2,2.9,9.5,
814,"Soto betawi, masakan",100,135.0,11.5,2.5,8.8,0.5
815,"Soto jeroan, masakan",100,92.0,1.4,11.8,4.3,
816,"Soto kudus, masakan",100,38.0,1.8,2.6,2.3,0.2
817,"Soto madura, masakan",100,60.0,1.3,3.5,4.5,
818,"Soto padang, masakan",100,127.0,11.0,5.9,6.6,0.7
819,"Soto pekalongan, masakan",100,94.0,5.1,3.0,6.8,0.3
820,"Soto pemalang, masakan",100,75.0,3.5,3.6,5.2,
821,"Soto sukaraja, masakan",100,80.0,9.0,3.2,3.5,0.3
822,"Soto sulung, masakan",100,86.0,,2.3,8.5,
823,"Sukiyaki, masakan",100,75.0,12.2,5.6,0.4,0.2
824,"Tedong pallu basa, masakan",100,83.0,2.8,10.4,3.4,
825,"Tikus rica, masakan",100,257.0,3.8,18.8,18.5,
826,"Tinoransa, masakan",100,516.0,,17.7,49.5,
827,"Anak sapi, daging, gemuk, segar",100,184.0,,18.8,14.0,
828,"Anak sapi, daging, kurus, segar",100,174.0,,19.6,10.0,
829,"Anak sapi, daging, sedang, segar",100,190.0,,19.1,12.0,
830,"Angsa, daging, segar",100,349.0,,16.4,31.5,
831,"Ayam, daging, segar",100,298.0,,18.2,25.0,
832,"Ayam, dideh/darah, segar",100,75.0,0.7,13.8,1.9,
833,"Ayam, hati, segar",100,261.0,1.6,27.4,16.1,
834,"Babi, daging, gemuk,segar",100,453.0,,11.9,45.0,
835,"Babi, daging, kurus, segar",100,371.0,,14.1,35.0,
836,"Babi, ginjal, segar",100,110.0,0.8,16.3,4.6,
837,"Babi, hati, segar",100,129.0,1.7,19.7,4.8,
838,"Bebek (itik), daging, segar",100,321.0,,16.0,28.6,
839,"Bebek alabio, daging, segar",100,303.0,3.7,11.3,27.0,
840,"Belibis, daging, segar",100,131.0,2.8,20.2,4.3,
841,"Burung, sarang, segar",100,281.0,32.1,37.5,0.3,
842,"Domba, daging, gemuk, segar",100,317.0,,15.7,27.7,
843,"Domba, daging, kurus, segar",100,202.0,,17.1,14.8,
844,"Domba, ginjal, segar",100,100.0,1.0,16.6,3.3,
845,"Kambing, daging, segar",100,149.0,,16.6,9.2,
846,"Kelinci, daging, segar",100,142.0,,16.9,7.8,
847,"Kerbau, daging, segar",100,79.0,,18.7,0.5,
848,"Kuda, daging, segar",100,113.0,0.9,18.1,4.1,
849,"Sapi, babat, segar",100,108.0,,17.6,4.2,
850,"Sapi, daging, gemuk, segar",100,273.0,,17.5,22.0,
851,"Sapi, daging, kurus, segar",100,174.0,,19.6,10.0,
852,"Sapi, daging, lemak sedang, segar",100,201.0,,18.8,14.0,
853,"Sapi, daleman, segar",100,183.0,1.4,12.0,14.4,
854,"Sapi, dideh/darah",100,98.0,,21.9,1.1,
855,"Sapi, ginjal, segar",100,137.0,0.9,15.0,8.1,
856,"Sapi, keleponan, segar",100,84.0,0.2,10.5,4.6,
857,"Sapi, liver, segar",100,132.0,6.0,19.7,3.2,
858,"Sapi, otak, segar",100,123.0,0.8,10.4,8.6,
859,"Sapi, usus, segar",100,126.0,1.5,14.0,7.2,
860,Ulat sagu segar,100,241.0,5.8,5.8,21.6,2.8
861,"Bekicot, dendeng, mentah",100,441.0,15.8,48.7,20.3,
862,"Belut, goreng",100,417.0,32.0,25.9,19.4,
863,"Cumi-cumi, goreng",100,265.0,,40.6,10.1,
864,"Ikan asin, kering",100,193.0,,42.0,1.5,
865,"Ikan bandeng presto, masakan",100,296.0,11.3,17.1,20.3,
866,Ikan baung bakar,100,144.0,5.2,17.8,5.8,
867,Ikan Belida bakar,100,128.0,7.2,18.0,3.0,
868,"Ikan cakalang asap, mentah",100,204.0,1.9,34.2,5.6,
869,"Ikan cakalang asin, mentah",100,198.0,5.5,36.5,2.2,
870,"Ikan calo/ peda, mentah",100,81.0,3.8,11.4,1.9,
871,"Ikan Gabus asap, mentah",100,261.0,21.9,38.1,2.3,
872,"Ikan Gabus, kering",100,268.0,,58.0,4.0,
873,"Ikan gete, goreng",100,267.0,0.2,23.1,19.4,
874,"Ikan hiu, kering",100,298.0,20.2,46.3,3.6,
875,"Ikan katombo, asin",100,162.0,0.3,31.7,2.8,
876,"Ikan kayu, kering",100,302.0,0.4,70.7,1.9,
877,Ikan Lais bakar,100,147.0,5.4,17.5,6.5,
878,"Ikan lomak asin, mentah",100,258.0,18.9,40.3,2.3,
879,Ikan Mas pepes,100,209.0,11.8,15.2,11.3,0.5
880,Ikan mujahir goreng,100,416.0,,46.9,23.9,
881,Ikan Mujahir pepes,100,121.0,0.8,21.7,2.8,
882,"Ikan mujahir, dendeng, mentah",100,582.0,37.2,68.3,15.2,
883,"Ikan Papuyu, bakar",100,152.0,6.7,17.6,6.1,
884,"Ikan Patin, bakar",100,144.0,4.3,17.5,6.3,
885,"Ikan peda banjar, mentah",100,156.0,2.0,28.0,4.0,
886,"Ikan pepetek, mentah",100,176.0,2.0,32.0,4.4,
887,"Ikan Pindang banjar, mentah",100,157.0,1.8,28.0,4.2,
888,"Ikan Pindang benggol, mentah",100,170.0,,31.0,4.2,
889,"Ikan Pindang layang, mentah",100,153.0,,30.0,2.8,
890,"Ikan Pindang selar, mentah",100,142.0,,27.0,3.0,
891,"Ikan sale lais, mentah",100,415.0,2.9,61.3,17.6,
892,"Ikan saluang, kering, mentah",100,284.0,14.6,34.1,9.9,
893,"Ikan sanggang, masakan",100,240.0,20.7,21.7,7.7,
894,"Ikan selar kuning, cue, mentah",100,138.0,,27.0,3.3,
895,"Ikan selar, kering, mentah",100,194.0,,38.0,3.5,
896,"Ikan sepat, kering, mentah",100,289.0,,38.0,14.0,
897,"Ikan sunu, asin, mentah",100,199.0,7.1,34.1,3.8,
898,"Ikan, tepung, mentah",100,316.0,22.4,60.1,6.5,
899,"Ikan Teri nasi, kering, mentah",100,144.0,,32.5,0.6,
900,"Ikan Teri, bubuk, mentah",100,277.0,1.8,60.0,2.3,
901,"Ikan teri, kering, mentah",100,170.0,,33.4,3.0,
902,"Ikan Teri, kering, tawar, mentah",100,331.0,,68.7,4.2,
903,"Ikan Teri, tepung, mentah",100,347.0,19.6,48.8,6.4,
904,"Kerang, asap, mentah",100,393.0,29.4,38.9,13.3,
905,"Kerang, dendeng, mentah",100,357.0,25.6,41.1,10.0,
906,"Rebon, kering, mentah",100,299.0,3.2,59.4,3.6,
907,"Rebung laut, mentah",100,320.0,63.3,7.2,4.2,
908,Rusip,100,110.0,11.7,11.5,2.0,
909,Sardines dalam kaleng,100,338.0,1.0,21.1,27.0,
910,"Teripang, dendeng, mentah",100,462.0,3.5,39.1,32.4,
911,"Udang kering, mentah",100,278.0,2.2,62.6,4.1,
912,"Udang papay, mentah",100,273.0,12.5,47.8,3.8,
913,Abon haruwan,100,513.0,21.3,23.7,37.0,
914,Abon ikan,100,435.0,36.1,27.2,20.2,
915,"Betok wadi, masakan",100,145.0,4.1,16.3,7.0,
916,"Bou ninahu ndamate, masakan",100,79.0,1.1,6.3,1.0,
917,"Bouiki ninahu nggaluku, masakan",100,94.0,10.8,7.8,2.2,
918,Cakalang asar (asap papua),100,155.0,10.2,20.1,3.8,
919,"Dendeng belut, goreng",100,382.0,8.0,55.7,14.1,
920,"Dendeng mujahir, goreng",100,598.0,9.2,74.3,26.9,
921,Fillet o-fish,100,270.0,19.3,12.3,15.9,0.2
922,"Gete kuah asam, masakan",100,75.0,6.0,8.2,2.0,
923,"Gulai asam keueung, masakan",100,52.0,1.8,10.0,0.5,
924,"Gulai ikan paya, masakan",100,148.0,5.0,10.0,9.8,
925,"Gulai ikan, masakan",100,106.0,2.5,16.5,3.3,
926,"Gulai keumamah, masakan",100,110.0,3.2,5.9,8.2,
927,"Gulai tiram, masakan",100,132.0,7.8,9.0,7.2,
928,"Gurame asem manis, masakan",100,192.0,12.7,12.7,10.1,
929,"Ikan asar merah, masakan",100,146.0,5.6,17.7,5.9,
930,Jambal goreng,100,286.0,2.3,48.5,9.2,
931,"Jukku pallu kaloa, masakan",100,15.0,8.8,15.2,4.3,
932,"Kaholeo, masakan",100,413.0,29.8,28.7,19.8,
933,"Lawara penjah, masakan",100,207.0,9.6,7.4,15.4,
934,"Model, masakan",100,79.0,8.6,2.2,4.0,
935,"Mujahir acar kuning, masakan",100,330.0,12.1,17.8,23.4,1.1
936,"Parede baleh, masakan",100,87.0,5.5,10.5,2.5,
937,Pempek adaan,100,162.0,27.8,4.9,3.0,
938,Pempek belida,100,156.0,31.6,4.2,1.4,0.2
939,Pempek kapal selam,100,152.0,28.2,4.5,2.3,
940,Pempek kelesan,100,211.0,26.6,12.3,6.1,0.4
941,Pempek kulit,100,243.0,39.1,5.2,7.3,
942,Pempek telur,100,156.0,28.3,4.7,2.7,
943,Pempek tenggiri,100,173.0,33.4,7.2,1.2,0.2
944,"Pencok lele, masakan",100,372.0,3.5,7.8,36.3,
945,"Pinda, masakan",100,107.0,0.4,15.9,0.6,
946,"Pindang kenari, masakan",100,124.0,,9.5,9.6,
947,"Saboko gurita, masakan",100,87.0,2.6,15.7,1.5,
948,"Saboko saltan, masakan",100,113.0,3.0,17.1,3.6,
949,"Saboko sardin, masakan",100,110.0,4.9,12.9,4.3,
950,Sate Bandeng,100,283.0,20.9,12.1,16.8,2.0
951,"Sepi, masakan",100,88.0,10.6,7.9,1.6,
952,Tekwan,100,53.0,9.4,1.9,0.9,
953,"Teri balado, masakan",100,365.0,17.5,23.7,22.3,
954,Tumis bandeng,100,189.0,0.6,11.3,15.7,
955,Tumis keumamah,100,300.0,15.5,14.5,20.0,4.5
956,"Ikan bader, segar",100,193.0,,19.0,13.0,
957,"Ikan balong, segar",100,107.0,1.5,16.5,3.9,
958,"Ikan bambangan, segar",100,112.0,3.7,20.0,1.3,
959,"Ikan bandeng, segar",100,123.0,,20.0,4.8,
960,"Ikan banjar, segar",100,111.0,4.8,19.4,0.9,
961,"Ikan baronang, segar",100,78.0,3.7,14.5,0.6,
962,"Ikan batung, segar",100,115.0,4.2,14.5,4.6,
963,"Ikan baung, segar",100,123.0,3.3,15.1,5.5,
964,"Ikan bawal, segar",100,91.0,,19.0,1.7,
965,"Ikan Belida, segar",100,80.0,2.2,14.7,1.4,
966,"Belut, segar",100,70.0,1.0,14.6,0.8,
967,"Belut,laut, segar",100,93.0,6.1,12.8,1.5,
968,"Ikan beunteur, segar",100,109.0,,17.0,4.0,
969,"Ikan biawan, segar",100,90.0,2.1,14.9,2.5,
970,"Ikan bili, segar",100,88.0,6.2,14.2,0.7,
971,"Ikan bubara, segar",100,100.0,4.9,14.7,2.4,
972,"Ikan bulan-bulan, segar",100,134.0,5.0,25.5,1.3,
973,"Ikan, cakalang, segar",100,107.0,5.5,19.6,0.7,
974,"Ikan cakalang, hati, segar",100,120.0,10.0,11.3,3.9,
975,"Ikan cakalang, jantung, segar",100,116.0,10.2,11.2,1.2,
976,"Ikan cakalang, perut, segar",100,86.0,8.7,10.2,1.1,
977,"Cumi-cumi, segar",100,75.0,0.1,16.1,0.7,
978,"Ikan daun, segar",100,101.0,4.6,11.5,4.1,
979,"Ikan ekor kuning, segar",100,108.0,2.1,22.3,1.2,
980,"Ikan gabus, segar",100,80.0,2.6,16.2,0.5,
981,"Ikan Heu, segar",100,81.0,6.6,10.0,1.6,
982,"Ikan hitam, segar",100,101.0,6.7,10.3,3.7,
983,"Ikan hiu, segar",100,57.0,2.2,10.7,0.3,
984,"Ikan kacangan, segar",100,77.0,1.6,15.6,0.9,
985,"Ikan kakap, segar",100,92.0,,20.0,0.7,
986,"Ikan kakatua, segar",100,82.0,6.4,11.4,1.2,
987,"Ikan kalaban, segar",100,77.0,1.3,16.4,0.7,
988,"Ikan Kamera, segar",100,86.0,,19.7,0.8,
989,"Ikan kapar, segar",100,132.0,0.8,17.0,6.7,
990,"Ikan kawalinya, segar",100,110.0,5.4,12.6,4.2,
991,"Ikan oci, kembung, segar",100,125.0,2.2,21.3,3.4,
992,"Keong, segar",100,64.0,2.0,12.0,1.0,
993,"Kepiting, segar",100,151.0,14.1,13.8,3.8,
994,"Kerang, segar",100,101.0,3.9,14.4,2.6,
995,"Ikan keru-keru, segar",100,93.0,0.8,16.5,2.1,
996,"Ikan kima, segar",100,70.0,5.2,10.8,0.7,
997,"Kodok, segar",100,73.0,,16.4,0.3,
998,"Kura-kura, segar",100,83.0,,19.1,0.2,
999,"Kuro, segar",100,87.0,1.0,16.0,2.2,
1000,"Ikan lais, segar",100,161.0,2.4,11.9,11.5,
1001,"Ikan layang, segar",100,109.0,,22.0,1.7,
1002,"Ikan layur, segar",100,82.0,0.4,18.0,1.0,
1003,"Ikan lehoma, segar",100,90.0,,20.4,0.9,
1004,"Ikan lemuru, segar",100,112.0,,20.0,3.0,
1005,"Ikan lidah, segar",100,104.0,2.0,15.6,3.2,
1006,"Lokan, segar",100,217.0,5.1,11.0,1.7,
1007,"Ikan malalugis, segar",100,99.0,0.9,20.6,1.4,
1008,"Ikan mamar merah, segar",100,115.0,4.4,15.3,4.0,
1009,"Ikan mas, segar",100,86.0,,16.0,2.0,
1010,"Ikan mayong, segar",100,97.0,0.4,17.9,2.0,
1011,"Ikan mujahir, segar",100,89.0,,18.7,1.0,
1012,"Ikan nasu metti, segar",100,154.0,10.5,16.8,5.0,
1013,"Ikan paling, segar",100,303.0,,14.0,27.0,
1014,"Ikan papuyu/ betok, segar",100,120.0,4.6,14.3,4.9,
1015,"Ikan Patin, segar",100,132.0,1.1,17.0,6.6,
1016,"Ikan pomo, segar",100,147.0,2.6,22.5,5.2,
1017,"Ikan Puntin, segar",100,76.0,2.2,14.4,1.1,
1018,"Rajungan, segar",100,76.0,2.4,12.1,2.0,
1019,"Rebon, udang kecil, segar",100,81.0,0.7,16.2,1.2,
1020,"Ikan saluang, segar",100,113.0,3.4,13.9,4.9,
1021,"Ikan sarden, segar",100,109.0,3.4,19.9,1.8,
1022,"Ikan selar, segar",100,100.0,,18.8,2.2,
1023,"Ikan sepat, segar",100,84.0,4.7,15.2,0.6,
1024,"Ikan sidat, segar",100,81.0,3.8,11.4,1.9,
1025,"Ikan sunu, segar",100,111.0,6.7,13.3,3.4,
1026,"Ikan tahuman, segar",100,88.0,4.1,15.9,0.9,
1027,"Ikan Sale, segar",100,534.0,4.9,40.2,39.3,2.0
1028,"Ikan tarmon, segar",100,96.0,2.0,19.5,1.1,
1029,"Ikan telan, segar",100,95.0,6.5,15.8,0.7,
1030,"Ikan tembang, segar",100,204.0,,16.0,15.0,
1031,"Ikan tempahas, segar",100,101.0,1.0,15.1,4.1,
1032,"Ikan terbang, segar",100,98.0,1.0,19.6,1.7,
1033,"Ikan teri, segar",100,74.0,4.1,10.3,1.4,
1034,"Ikan titang, segar",100,82.0,2.3,17.4,0.4,
1035,"Ikan tongkol, segar",100,100.0,8.0,13.7,1.5,
1036,"Ikan turi, segar",100,96.0,0.2,19.2,2.0,
1037,"Udang, besar, segar",100,56.0,1.2,11.4,0.6,
1038,"Udang galah, segar",100,81.0,3.0,16.5,0.3,
1039,"Udang, segar",100,91.0,0.1,21.0,0.2,
1040,"Telur ayam, dadar, masakan",100,251.0,1.4,16.3,19.4,
1041,"Telur bebek, asin, mentah",100,179.0,4.4,13.6,13.3,
1042,"Telur bebek, dadar, masakan",100,301.0,,20.0,23.7,
1043,"Ikan, telur, asin, mentah",100,358.0,9.4,20.7,26.4,
1044,"Bayau mi balu, masakan",100,313.0,44.8,6.0,12.2,
1045,"Cucuru bayau, masakan",100,349.0,38.3,6.8,18.7,
1046,"Kalio telur, masakan",100,193.0,9.7,10.6,12.4,
1047,"Telur ayam kampung, segar",100,174.0,1.2,10.8,14.0,
1048,"Telur ayam ras, segar",100,154.0,0.7,12.4,10.8,
1049,"Telur ayam ras, bagian kuning, segar",100,355.0,0.7,16.3,31.9,
1050,"Telur ayam ras, bagian putih, segar",100,50.0,0.8,10.8,,
1051,"Telur bebek alabio, segar",100,187.0,3.0,11.8,14.2,
1052,"Telur bebek, bagian kuning, segar",100,386.0,0.8,17.0,35.0,
1053,"Telur bebek, bagian putih, segar",100,54.0,0.8,11.0,,
1054,"Telur bebek tambak, segar",100,187.0,7.9,10.9,12.4,
1055,"Telur burung maleo, segar",100,436.0,0.4,26.5,36.3,
1056,"Telur penyu, segar",100,136.0,2.7,8.6,10.1,
1057,"Telur burung puyuh, segar",100,116.0,1.6,10.7,7.0,
1058,Es krim,100,210.0,20.6,4.0,12.5,
1059,Hangop,100,65.0,3.5,10.0,1.0,
1060,Keju,100,326.0,13.1,22.8,20.3,
1061,Kwark (Quark),100,242.0,3.0,19.0,17.0,
1062,"Susu asam untuk bayi, bubuk",100,418.0,65.5,19.0,9.0,
1063,Susu bubuk,100,513.0,36.2,24.6,30.0,
1064,Susu kental manis,100,343.0,55.0,8.2,10.0,
1065,Susu kental tak manis,100,138.0,9.9,7.0,7.9,
1066,"Susu skim, bubuk",100,359.0,52.0,35.6,1.0,
1067,"Susu skim, segar",100,36.0,5.1,3.5,0.1,
1068,"Yoghurt, segar",100,52.0,4.0,3.3,2.5,
1069,"Kepala susu - krim, segar",100,204.0,4.0,2.6,20.0,
1070,Susu ibu - ASI,100,62.0,7.0,1.5,3.2,
1071,"Susu kambing, segar",100,64.0,6.6,4.3,2.3,
1072,"Susu kerbau, segar",100,160.0,7.1,6.3,12.0,
1073,"Susu kuda, segar",100,40.0,5.4,2.0,1.1,
1074,"Susu sapi, segar",100,61.0,4.3,3.2,3.5,
1075,Margarin,100,720.0,0.4,0.6,81.0,
1076,Mentega,100,742.0,1.4,0.5,81.6,
1077,Santan (dengan air),100,122.0,7.6,2.0,10.0,1.4
1078,Santan murni,100,324.0,5.6,4.2,34.3,
1079,"Kelapa setengah tua, daging, segar",100,180.0,10.0,4.0,15.0,2.4
1080,"Kelapa tua, daging, segar",100,359.0,14.0,3.4,34.7,4.7
1081,Lemak babi (lard),100,902.0,,,100.0,
1082,Lemak babi (bacon),100,626.0,1.1,9.1,65.0,
1083,Lemak ikan,100,372.0,14.4,12.0,29.4,
1084,Lemak kerbau (lemak sapi),100,818.0,,1.5,90.0,
1085,"Minyak hiu, hati",100,902.0,,,100.0,
1086,Minyak ikan,100,902.0,,,100.0,
1087,Minyak kacang tanah,100,902.0,,,100.0,
1088,Minyak kedelai,100,883.0,,,99.9,
1089,Minyak kelapa,100,870.0,,1.0,98.0,
1090,Minyak kelapa sawit,100,884.0,,,100.0,
1091,Minyak wijen,100,881.0,,0.2,99.7,
1092,Minyak Zaitun,100,884.0,,,100.0,
1093,"Coklat manis, batang",100,527.0,62.7,2.0,29.8,6.5
1094,"Coklat pahit,batang",100,615.0,29.2,5.5,42.6,10.8
1095,"Coklat susu, batang",100,565.0,53.6,9.0,35.0,3.4
1096,Coklat bubuk,100,311.0,48.9,8.0,4.0,32.6
1097,Gula aren,100,368.0,92.0,,,
1098,Gula kelapa,100,386.0,76.0,3.0,10.0,
1099,Gula putih,100,394.0,94.0,,,
1100,"Jam, selai",100,239.0,64.5,0.5,0.6,1.0
1101,Kopi bubuk instant,100,129.0,35.0,12.3,0.5,
1102,Madu,100,294.0,79.5,0.3,,0.2
1103,Markisa squash,100,217.0,49.6,2.5,1.0,
1104,"Markisa squash, BD",100,104.0,23.7,1.2,0.5,
1105,Melase,100,276.0,71.0,,0.1,
1106,Sirup,100,213.0,55.0,,,
1107,Sirup pirous,100,228.0,55.9,0.2,0.4,
1108,Teh hijau daun kering,100,300.0,53.6,28.3,4.8,9.6
1109,Teh hitam daun kering,100,293.0,58.8,24.5,2.8,8.7
1110,Teh melati daun kering,100,299.0,59.0,24.1,3.5,9.7
1111,Balichong,100,152.0,22.9,13.2,0.8,1.5
1112,Bekasam,100,116.0,6.1,11.9,4.9,3.5
1113,Bekasang,100,78.0,3.6,11.4,2.0,0.4
1114,Cuka,100,21.0,5.0,0.1,0.1,
1115,Kecap,100,71.0,9.0,5.7,1.3,
1116,Petis ikan,100,165.0,20.8,20.0,0.2,
1117,Petis udang kering,100,345.0,59.3,23.8,1.4,
1118,Petis udang pasta,100,220.0,38.0,15.0,0.9,2.3
1119,Saos tomat,100,110.0,24.5,2.0,0.4,0.9
1120,Tempoya,100,110.0,21.9,1.7,1.3,2.6
1121,Terasi,100,155.0,9.9,22.3,2.9,2.7
1122,Terasi dobo,100,191.0,6.6,33.1,3.6,1.6
1123,Terasi merah,100,174.0,5.6,30.0,3.5,2.2
1124,"Asam arang coklat, segar",100,130.0,30.9,0.5,1.1,1.5
1125,"Asam arang merah, segar",100,99.0,20.3,0.8,1.6,2.8
1126,"Asam kandis, kering",100,261.0,63.3,0.9,1.6,5.0
1127,"Asam kandis, segar",100,75.0,16.1,0.2,1.1,3.4
1128,"Asam masak pohon, segar",100,267.0,62.5,2.8,0.6,1.2
1129,"Asam payak, segar",100,135.0,32.1,0.8,0.4,10.0
1130,"Bawang merah, segar",100,46.0,9.2,1.5,0.3,1.7
1131,"Bawang putih, segar",100,112.0,23.1,4.5,0.2,0.6
1132,"Boros kunci, segar",100,40.0,7.2,1.0,0.8,1.0
1133,"Boros laja (lengkuas), segar",100,26.0,4.7,1.0,0.3,1.1
1134,"Cabai gembor merah, segar",100,38.0,6.3,1.6,0.8,1.6
1135,"Cabai hijau, segar",100,26.0,5.2,0.7,0.3,2.6
1136,"Cabai merah, kering",100,367.0,61.8,15.9,6.2,26.9
1137,"Cabai merah, segar",100,36.0,7.3,1.0,0.3,1.4
1138,"Cabai rawit, segar",100,120.0,19.9,4.7,2.4,15.2
1139,"Cengkeh, kering",100,330.0,57.4,5.2,8.9,10.0
1140,"Daun salam, bubuk",100,301.0,49.0,14.2,10.9,9.4
1141,"Jahe, segar",100,51.0,10.1,1.5,1.0,12.0
1142,Kemiri,100,675.0,8.0,19.0,63.0,3.0
1143,"Ketumbar, kering",100,418.0,54.2,14.1,16.1,12.3
1144,Kluwek,100,310.0,13.5,10.0,24.0,
1145,"Kunyit, segar",100,69.0,9.1,2.0,2.7,0.6
1146,"Merica, kering",100,365.0,64.4,11.5,6.8,1.0
1147,"Pala, biji, kering",100,518.0,40.1,7.5,36.4,3.5
1148,"Kelapa muda, air, segar",100,17.0,3.8,0.2,0.1,
